Mês,Valor
07-1994,67.40
08-1994,77.42
09-1994,83.43
10-1994,88.80
11-1994,89.26
12-1994,87.42
01-1995,86.81
02-1995,83.79
03-1995,88.66
04-1995,97.48
05-1995,92.61
06-1995,88.21
07-1995,87.55
08-1995,86.79
09-1995,85.26
10-1995,87.50
11-1995,89.04
12-1995,91.52
01-1996,92.57
02-1996,93.77
03-1996,91.65
04-1996,92.98
05-1996,96.18
06-1996,96.34
07-1996,97.99
08-1996,97.26
09-1996,96.94
10-1996,96.35
11-1996,94.56
12-1996,92.64
01-1997,92.18
02-1997,93.79
03-1997,101.12
04-1997,102.81
05-1997,97.71
06-1997,94.05
07-1997,91.70
08-1997,91.46
09-1997,91.14
10-1997,94.00
11-1997,94.81
12-1997,98.32
01-1998,100.01
02-1998,99.65
03-1998,101.97
04-1998,106.30
05-1998,112.14
06-1998,111.47
07-1998,105.08
08-1998,101.43
09-1998,100.53
10-1998,102.49
11-1998,101.76
12-1998,102.09
01-1999,104.86
02-1999,106.75
03-1999,106.28
04-1999,104.54
05-1999,105.05
06-1999,104.00
07-1999,103.03
08-1999,106.23
09-1999,108.17
10-1999,111.11
11-1999,111.91
12-1999,111.96
01-2000,112.22
02-2000,110.80
03-2000,115.13
04-2000,115.92
05-2000,111.78
06-2000,109.44
07-2000,111.43
08-2000,114.63
09-2000,119.47
10-2000,122.61
11-2000,121.61
12-2000,119.54
01-2001,123.36
02-2001,123.44
03-2001,124.76
04-2001,129.49
05-2001,129.78
06-2001,127.58
07-2001,125.68
08-2001,126.39
09-2001,125.01
10-2001,125.00
11-2001,127.28
12-2001,128.60
01-2002,129.21
02-2002,128.63
03-2002,129.89
04-2002,132.22
05-2002,129.26
06-2002,131.50
07-2002,134.64
08-2002,138.29
09-2002,140.45
10-2002,142.12
11-2002,154.74
12-2002,158.73
01-2003,162.79
02-2003,166.54
03-2003,174.59
04-2003,185.40
05-2003,175.95
06-2003,169.22
07-2003,162.15
08-2003,158.34
09-2003,161.45
10-2003,162.58
11-2003,163.54
12-2003,164.79
01-2004,171.03
02-2004,167.00
03-2004,166.96
04-2004,165.00
05-2004,168.68
06-2004,174.90
07-2004,173.95
08-2004,182.26
09-2004,178.37
10-2004,177.14
11-2004,171.06
12-2004,172.20
01-2005,172.87
02-2005,175.04
03-2005,175.87
04-2005,180.93
05-2005,188.63
06-2005,183.14
07-2005,178.22
08-2005,175.12
09-2005,172.34
10-2005,174.77
11-2005,184.67
12-2005,183.43
01-2006,177.45
02-2006,175.54
03-2006,177.28
04-2006,182.95
05-2006,178.99
06-2006,172.31
07-2006,170.50
08-2006,169.62
09-2006,172.10
10-2006,179.74
11-2006,185.29
12-2006,182.05
01-2007,184.72
02-2007,185.96
03-2007,192.86
04-2007,188.80
05-2007,184.93
06-2007,187.45
07-2007,186.98
08-2007,193.04
09-2007,194.34
10-2007,201.25
11-2007,205.48
12-2007,214.63
01-2008,229.09
02-2008,226.20
03-2008,223.94
04-2008,227.81
05-2008,233.92
06-2008,245.24
07-2008,252.13
08-2008,241.15
09-2008,234.68
10-2008,238.15
11-2008,238.66
12-2008,239.49
01-2009,241.53
02-2009,237.34
03-2009,221.90
04-2009,225.63
05-2009,227.36
06-2009,228.10
07-2009,227.17
08-2009,225.69
09-2009,229.89
10-2009,230.03
11-2009,234.99
12-2009,228.19
01-2010,225.02
02-2010,229.64
03-2010,253.74
04-2010,261.39
05-2010,256.31
06-2010,249.06
07-2010,239.38
08-2010,235.65
09-2010,241.08
10-2010,253.79
11-2010,264.61
12-2010,265.15
01-2011,261.25
02-2011,261.18
03-2011,267.58
04-2011,268.52
05-2011,272.98
06-2011,273.48
07-2011,263.38
08-2011,266.75
09-2011,267.19
10-2011,266.97
11-2011,276.31
12-2011,277.27
01-2012,285.54
02-2012,276.54
03-2012,273.25
04-2012,277.27
05-2012,283.69
06-2012,287.63
07-2012,299.39
08-2012,306.02
09-2012,309.08
10-2012,311.55
11-2012,299.26
12-2012,304.90
01-2013,318.40
02-2013,326.59
03-2013,336.26
04-2013,344.30
05-2013,342.05
06-2013,340.46
07-2013,327.44
08-2013,319.66
09-2013,312.07
10-2013,321.14
11-2013,325.56
12-2013,327.24
01-2014,323.47
02-2014,325.35
03-2014,351.46
04-2014,357.85
05-2014,366.54
06-2014,354.63
07-2014,345.42
08-2014,337.80
09-2014,333.12
10-2014,341.04
11-2014,347.96
12-2014,354.19
01-2015,371.22
02-2015,378.86
03-2015,379.35
04-2015,387.05
05-2015,402.05
06-2015,392.77
07-2015,395.83
08-2015,386.04
09-2015,383.21
10-2015,382.13
11-2015,399.21
12-2015,412.12
01-2016,448.31
02-2016,443.40
03-2016,444.11
04-2016,442.42
05-2016,449.70
06-2016,469.02
07-2016,475.27
08-2016,475.11
09-2016,471.57
10-2016,469.55
11-2016,450.39
12-2016,438.89
01-2017,435.89
02-2017,426.22
03-2017,435.34
04-2017,446.28
05-2017,458.93
06-2017,441.61
07-2017,445.83
08-2017,431.66
09-2017,421.02
10-2017,428.13
11-2017,423.23
12-2017,424.36
01-2018,439.20
02-2018,437.33
03-2018,437.84
04-2018,434.80
05-2018,441.16
06-2018,451.63
07-2018,437.42
08-2018,432.81
09-2018,432.83
10-2018,446.02
11-2018,471.37
12-2018,471.44
01-2019,467.65
02-2019,482.40
03-2019,509.11
04-2019,522.05
05-2019,507.07
06-2019,501.68
07-2019,493.16
08-2019,481.44
09-2019,473.85
10-2019,473.59
11-2019,465.81
12-2019,506.50
01-2020,517.51
02-2020,519.76
03-2020,518.50
04-2020,556.25
05-2020,556.36
06-2020,547.03
07-2020,524.74
08-2020,539.95
09-2020,563.35
10-2020,595.87
11-2020,629.18
12-2020,631.46
01-2021,654.15
02-2021,639.47
03-2021,626.00
04-2021,632.61
05-2021,636.40
06-2021,626.76
07-2021,640.51
08-2021,650.50
09-2021,673.45
10-2021,693.79
11-2021,692.27
12-2021,690.51
01-2022,713.86
02-2022,715.65
03-2022,761.19
04-2022,803.99
05-2022,777.93
06-2022,777.01
07-2022,760.45
08-2022,749.78
09-2022,750.74
10-2022,762.20
11-2022,782.68
12-2022,791.29
01-2023,790.57
02-2023,779.38
03-2023,782.23
04-2023,794.68
05-2023,791.82
06-2023,783.05
07-2023,769.95
08-2023,748.47
09-2023,734.77
10-2023,738.13
11-2023,749.28
12-2023,761.01
01-2024,793.39
02-2024,808.38
03-2024,813.26
04-2024,822.84
05-2024,826.85
06-2024,832.69
07-2024,809.77
08-2024,786.35
